ref_piid,total_obligated,action_count,exact_distinct_ref_piid_all_years
W58RGZ12D0089,1742721024.57,4043,1430550
W58RGZ18D0082,1741774411.67,151,1430550
GS33F0025V,1741441616.18,464,1430550
F3460197D0422,1737683175.65,3646,1430550
GS00T99ALD0211,1730719092.44,569,1430550
GS00Q14OADU329,1725560618.34,927,1430550
W31P4Q20D0039,1724521167.98,116,1430550
NNG15SD19B,1716923617.41,7931,1430550
W56HZV18D0012,1711874722.69,127,1430550
HC102812D0021,1699408601.17,895,1430550
NNN06AA01C,1699006591.09,1794,1430550
FA860919D0007,1697575867.73,162,1430550
W15QKN19D0072,1686662238.17,54,1430550
N0001915G0026,1685095517.84,2507,1430550
GS09K99BHD0001,1681238266.36,3805,1430550
FA810610D0001,1674703387.63,334,1430550
SPE2D117D0023,1674401732.29,5636,1430550
F3460197D0425,1673532938.02,2272,1430550
NNG15SC55B,1671935635.22,2233,1430550
N0001917G0002,1669815299.38,992,1430550
NNG15SC59B,1668692480.85,3154,1430550
FA862607D2073,1653381177.00,68,1430550
HC104705D4005,1651742754.23,3671,1430550
GS00Q09BGD0056,1650787054.63,1149,1430550
N0001914D0011,1650551452.09,1361,1430550
W15P7T06DE404,1650547416.46,1101,1430550
SPE2DX22D0019,1645216810.10,57484,1430550
DAAB0703DB009,1644793548.33,2329,1430550
47QRAA18D001P,1644555926.71,1089,1430550
26301D0054,1641005071.53,398,1430550
W15P7T11DH607,1636940504.43,870,1430550
GS35F0163N,1635821600.90,2747,1430550
693JF719D000002,1634932228.97,87,1430550
GS00Q14OADS722,1630347860.39,1893,1430550
SAQMMA09A0173,1628171675.94,2019,1430550
GS35F110DA,1627988623.77,1160,1430550
SP070098D4002,1627781072.38,4193,1430550
GS00T07NSD0038,1622641112.39,138938,1430550
SAQMMA12D0165,1622588154.70,568,1430550
W56HZV23D0008,1617264610.36,136,1430550
36C10X19D0004,1615604307.33,46,1430550
N0002418D6401,1611195020.55,2692,1430550
GS00Q09BGD0020,1610962731.17,988,1430550
GS00Q17NSD3009,1602682982.76,2210,1430550
DAAB0700DE252,1598321765.02,700,1430550
W912EK22D0002,1590443812.02,164,1430550
N0001918D0001,1589205147.26,324,1430550
FA852819D0015,1586518069.96,602,1430550
SPM8EJ09D0017,1584093052.10,7454,1430550
70B01C21A00000002,1580852877.31,149,1430550
FA810616D0002,1579284113.62,817,1430550
FA807518D0011,1579199794.15,1437,1430550
SPM30008D3196,1578378079.00,9676,1430550
HQ000604D0006,1578300481.49,1249,1430550
GS00Q14OADU113,1575535869.82,1155,1430550
EDFSA09D0013,1574628523.46,527,1430550
W31P4Q22D0004,1571375331.36,63,1430550
HQ014712D0001,1567541332.12,739,1430550
W911SE07D0006,1564632990.76,643,1430550
HHSN316201200008W,1564420347.47,641,1430550
36C79119D0021,1556424249.10,7,1430550
N0001984C0270,1552171000.00,31,1430550
W912EK23D0011,1549569372.30,68,1430550
