ref_piid,total_obligated,action_count,exact_distinct_ref_piid_all_years
47QSCC21A0001,979740771.26,595107,1430550
HSHQDC06D00032,979538019.99,902,1430550
W15P7T16D0002,978737267.25,146,1430550
F3460197D0424,975565823.94,2308,1430550
GS28F8049H,973833379.75,25459,1430550
W15P7T10DD420,973779145.34,502,1430550
DAAH0183CA107,972364000.00,28,1430550
DCA20001D5002,970181217.37,757,1430550
DAAE0783CA128,969841000.00,36,1430550
NNG15SC10B,969537246.28,1550,1430550
W91QUZ06D0003,968339957.94,7999,1430550
HHSM500201300016I,964740482.25,137,1430550
GS30FK0005,964622955.41,12003,1430550
N0010404AZF12,964517454.35,209,1430550
FA862020G4050,964252653.99,162,1430550
GS03F0169X,964050976.92,162,1430550
SP060012D1002,959277711.80,4,1430550
H9224119D0003,957895296.75,366,1430550
FA810617D0002,957805420.37,994,1430550
FA300218D0008,956525416.75,298,1430550
GS00Q14OADS705,953171573.32,604,1430550
N0001983C0176,952687000.00,44,1430550
F0470185C0086,950741000.00,15,1430550
36C79119D0018,950706593.13,5,1430550
FA867220D0001,950078186.12,107,1430550
FA701418D5000,948961729.46,548,1430550
FA805120D0001,948682818.34,38,1430550
VA797P0191,948440826.10,8483,1430550
FA822307D0001,948195164.13,609,1430550
SAQMPD05D1098,946087503.11,137,1430550
SPE4A114G0007,940799219.97,19574,1430550
NNG10AZ13B,940010872.02,257,1430550
75FCMC18D0046,939742666.19,26,1430550
F3365783C0150,939115000.00,71,1430550
F1963093D0001,936401587.57,5532,1430550
SP040001D9405,935135289.52,846,1430550
DAJB0966D0027,934515542.00,130,1430550
F3365701D0013,933601122.11,727,1430550
GS35F0153M,931686234.03,3345,1430550
70RSAT20D00000001,931174135.85,973,1430550
W91QUZ06D0010,930129729.54,701,1430550
F3365782C2110,928700000.00,174,1430550
NNG15SC25B,928101917.35,74,1430550
DECA0100G2056,927483479.00,32,1430550
F1962885C0046,924991000.00,73,1430550
N0001917D5517,923936344.57,34,1430550
N0017819D7295,922702142.92,677,1430550
W15P7T17D0148,922410466.56,406,1430550
GS10F0309T,919957311.29,363,1430550
N0002486C2005,919157000.00,35,1430550
HHSM500201600003I,918434581.77,17,1430550
FA821324DB002,917849704.15,30,1430550
FA862115D6273,916907798.18,517,1430550
GS00T07NSD0002,915838507.10,9932,1430550
47QTCA21A0002,915754625.31,413,1430550
TIRNO11D00016,915685543.80,454,1430550
DEAM0106IM00054,912596589.45,1087,1430550
36C10X19D0010,912410146.58,46,1430550
DEAM3609GO29035,912088833.09,416,1430550
NNG15SC98B,910883688.39,1397,1430550
F1962885C0002,910495000.00,35,1430550
DAAH0186CA020,909132000.00,40,1430550
DAAB0703DB010,907343320.98,2096,1430550
N6893618D0026,906795585.56,732,1430550
SPM40001D9405,905578653.28,3385,1430550
HSFEHQ05D0471,903418831.52,89,1430550
VA11811D1008,901687314.15,618,1430550
75A50123D00003,901499779.02,47,1430550
89243225DNE000031,900500000.00,2,1430550
91003123D0005,900200017.30,124,1430550
89243225DNE000023,900000000.00,1,1430550
FA863722DB001,898171365.14,62,1430550
SPE4AX19D9410,894773939.72,34,1430550
HTC71118DCC40,892382063.56,1440,1430550
N0002482C2260,892325000.00,115,1430550
GS00Q14OADU106,890896851.05,142,1430550
GS00Q14OADU325,890846230.07,601,1430550
SPE2DE20D0027,890705374.57,263,1430550
N0038318DP601,890511726.46,44,1430550
HSHQDC06D00019,889985808.03,438,1430550
W912CH24D0016,889687790.03,15,1430550
INN07PC10444,888866983.36,43,1430550
DJM17A35V0040,888446444.90,66,1430550
36C10X23D0032,886383495.02,798,1430550
HHSM500201200008I,885501268.47,895,1430550
SAQMMA16D0046,883587830.69,206,1430550
HTC71117DCC13,883305728.29,1791,1430550
VA11816D1002,881539118.05,249,1430550
GS35F0004L,880750409.12,8841,1430550
GS00Q09BGD0050,880630087.29,430,1430550
MDA90690D0003,880223893.00,57,1430550
70Z04723DPCNI0006,879719362.35,20,1430550
SPM30014D3736,879332581.15,40537,1430550
36C10X19D0007,878632599.62,44,1430550
F3365787C2027,878596000.00,5,1430550
DECA0195G0227,876765892.00,51,1430550
GS00Q14OADU308,876130489.95,410,1430550
N0003920D0057,875481889.89,398,1430550
N0002417D6421,875191882.57,2415,1430550
HDTRA114D0003,874646292.67,915,1430550
GS00Q09BGD0022,873952681.39,473,1430550
GS35F4340D,873770173.67,3057,1430550
SS001760017,872700478.90,44,1430550
SPE2DX22D0049,872474340.07,9266,1430550
N0002325D0004,871896388.86,20,1430550
SPE8EJ21D1022,871268649.71,211,1430550
VA11816D1008,870838407.31,333,1430550
FA810809D0004,870644640.28,1381,1430550
693JF721D000007,870541460.33,592,1430550
N0002488C2034,870506000.00,2,1430550
N0038323DDM01,870175558.80,13,1430550
W91QUZ07D0009,865879587.84,7005,1430550
NNG15SD23B,865179745.05,4436,1430550
DAAH0185CA026,865100000.00,30,1430550
SAQMMA10D0099,864960501.96,141,1430550
GS00Q12NSD0004,863622491.87,717,1430550
N0017804D4061,862438447.92,1730,1430550
NNL13AA14C,861408102.48,1064,1430550
70B02C20D00000019,860112327.95,38,1430550
N6274222D1313,859248119.00,39,1430550
GS28F8029H,859120140.27,17338,1430550
GS35F116AA,858129195.43,781,1430550
NNG15SD37B,856155402.22,1265,1430550
TIRNO95D00099,852140346.05,1957,1430550
NAS598144,851521003.63,1224,1430550
36C10G21D0016,851356930.46,724,1430550
N0001921D0001,848681851.91,21,1430550
W52P1J16D0016,847126233.62,4058,1430550
HHSN316201200036W,843116721.12,409,1430550
GS35F0265X,842831503.53,8722,1430550
47QTCK18D0052,841657304.31,235,1430550
W31P4Q05A0028,841224690.07,1552,1430550
GS35F4554G,840862966.01,2549,1430550
H9240019A0002,840813719.41,251,1430550
DAJB0370D6017,839340979.21,1112,1430550
TEPD151774,836457621.36,375,1430550
SPRPA118D001U,836361565.16,54,1430550
36C10X19D0002,833959608.58,48,1430550
N0001984C0063,833222000.00,44,1430550
SPE8EJ21D0023,831928134.04,3785,1430550
W52P1J05D0003,830406461.67,146,1430550
N0060082D0440,828525000.00,162,1430550
NNK14MA75C,825676400.22,103,1430550
H9500105D0002,825165301.99,1577,1430550
F1162690D0005,823619000.00,1886,1430550
GS02S33363,821681000.00,22,1430550
HQ014718D0005,821441579.07,577,1430550
N0022881DE304,820900000.00,1,1430550
2031JG18D00002,819344258.81,270,1430550
N0017819D7876,818307034.60,188,1430550
PCEI00000001500,817641068.00,11,1430550
F3365780C0001,817278000.00,46,1430550
NNG15SC41B,816688026.03,1370,1430550
NNG07DA19B,815286823.59,4141,1430550
DAAB0786DK023,814672897.57,564,1430550
HHSN261201500003I,813515865.33,548,1430550
47QTCK18D0014,811300230.05,515,1430550
GS23F0321N,811295750.38,763,1430550
N0017804D4080,809940790.36,2012,1430550
GS10FCA017,809106459.62,101,1430550
HTC71119DR001,808522350.14,73,1430550
DTFA0192D00004,808114271.00,476,1430550
SPM20003D1675,807636438.53,6032,1430550
SP070099D0301,807128335.97,1901,1430550
N0002479C4026,806960000.00,24,1430550
N6247321D1206,805930336.42,156,1430550
GS00Q14OADS721,805297722.06,307,1430550
NNG07DA46B,805157707.15,4594,1430550
FA867216D0010,804763474.26,63,1430550
V797PPV0001,804222805.62,24,1430550
GS35F0330J,801296811.18,10160,1430550
DAAJ0985CA005,800874000.00,27,1430550
GS35F0170K,800127579.55,6370,1430550
GS00T99ALD0205,799079835.39,281,1430550
SPE2DX15D1022,798551038.99,64924,1430550
F4160884CA100,798410000.00,23,1430550
GS26F1001B,794689452.84,9306,1430550
SPE2DX15D2206,793060087.00,58101,1430550
36W79719D0001,792046754.52,1506,1430550
GS23F0084P,791410635.47,431,1430550
HTC71117DCC11,790447566.72,1306,1430550
N0001985C0311,789969000.00,12,1430550
N0002419D6200,789616774.35,130,1430550
GS33F004DA,789550216.68,102,1430550
SPE60218D0459,789302035.73,170,1430550
SPRTA119D0001,786983453.60,36,1430550
N0002483C6083,785524000.00,45,1430550
GS23F0107J,785203687.81,3447,1430550
FA873215D0044,785118752.81,143,1430550
SPM54006DBP01,785008712.76,13157,1430550
W15P7T10DD421,784652235.18,790,1430550
W15QKN19D0084,784475719.50,118,1430550
DEAM3609GO29029,784355691.08,528,1430550
GS00Q14OADU324,784278915.75,180,1430550
DASW0100D3035,783875443.00,1045,1430550
N0002401D7014,782950185.31,454,1430550
DAHC9488D0005,782944136.00,1200,1430550
W912DY15G0007,782012602.42,30,1430550
GS00Q14OADU127,780779150.47,260,1430550
GS00T99ALD0204,780525377.00,157,1430550
W31P4Q25D0010,780216887.65,8,1430550
GS35F0108J,779560235.87,3610,1430550
N6600119A0120,778277515.28,1488,1430550
NNG07DA21B,776555525.74,7530,1430550
DAAE0783CR034,776065000.00,75,1430550
NNG15SD25B,773647600.49,1525,1430550
GS30FR0007,773242902.92,23492,1430550
HC102818D0045,773201554.91,180,1430550
W56KGY17D0005,771981502.14,339,1430550
W58RGZ24D0053,770519726.72,60,1430550
HHSM500200700024I,770035021.17,261,1430550
N0017819D7088,769508141.16,292,1430550
F3460197G0002,769430235.00,1961,1430550
F3365781C0208,769146000.00,101,1430550
V797P6019B,767939836.74,4569,1430550
15JPSS20D00000271,767204803.58,2208,1430550
W58RGZ21D0094,766429923.27,170,1430550
SPE2DE21D0023,763804932.00,171,1430550
F3365794D2000,763654998.00,67,1430550
SPE60222D0466,763559237.13,109,1430550
FA862019G4023,763270054.11,134,1430550
F0960397D0008,763187186.00,2471,1430550
DAAB0703DB007,763126257.23,1837,1430550
HHSN316201200030W,762201930.82,323,1430550
N0003915D0007,761754340.02,482,1430550
NNG07DA25B,761114554.46,5644,1430550
SP470917D0023,761066298.50,508,1430550
W911WN15D0001,761056388.47,66,1430550
70CDCR20D00000009,760088746.19,88,1430550
NNG15SD74B,759741134.39,7332,1430550
SAQMMA16D0042,759586512.77,162,1430550
F0162096D0004,759334397.33,1242,1430550
N6247013D6020,758484137.25,140,1430550
GS06F0626Z,757960530.84,579,1430550
47QFCA22D0163,757686007.51,66,1430550
SPE4AX15D9441,757568407.84,142,1430550
SP060004D0486,757540204.00,2,1430550
HHSM500200600003I,757376019.17,76,1430550
N0002498D8503,757153193.00,1893,1430550
693KA918D00010,756621198.04,1721,1430550
N0038315D008F,755586231.76,32,1430550
VA11816D1005,754512701.64,168,1430550
FA863012D5018,754309456.73,78,1430550
F3365784C2131,752778000.00,25,1430550
36C10X19D0009,751585113.06,45,1430550
EDFSA11D0012,751520009.35,187,1430550
W15QKN18D0135,750753781.32,379,1430550
SP020097D7077,749650470.00,618,1430550
W52P1J18D0092,749158830.37,288,1430550
N0001984C0015,747963000.00,38,1430550
W900KK18D0008,745126219.01,278,1430550
N0038319DU001,744865375.23,27,1430550
GS35F4550G,743443201.94,1622,1430550
47QTCK18D0041,742706894.52,134,1430550
W15P7T16D0003,742631419.33,159,1430550
HS002119D0128,741934516.13,23,1430550
GS30FW0003,741554590.92,17712,1430550
HTC71125DCC04,741462569.11,767,1430550
N000258300000,741139000.00,10,1430550
FA300208D0008,740290995.17,581,1430550
2031JG23D00001,739961555.32,137,1430550
N0001981C0157,739137000.00,49,1430550
47QFCA22D0303,738635429.00,41,1430550
SPRPA118D002U,738027939.39,198,1430550
W900KK1890005,737892835.59,595,1430550
F3460192G0010,735804958.00,1338,1430550
W52P1J22D0006,735782760.85,34,1430550
70CDCR20D00000007,735690631.51,144,1430550
GS00Q14OADU309,735684305.92,124,1430550
GS00F045DA,735551154.73,1060,1430550
FA810809D0005,735382987.50,490,1430550
NNG07DA35B,733115529.53,7186,1430550
HHSN316201200023W,732179019.14,445,1430550
NAS501143,731909501.16,4617,1430550
HTC71117DR018,731541194.68,36,1430550
HSHQDC06D00024,730653010.01,428,1430550
SPE2DX22D0010,730569474.71,29002,1430550
47QTCK18D0047,728907935.85,203,1430550
SAQMMA10A0058,728376455.59,821,1430550
GS00F029DA,727798147.67,771,1430550
N0001920D0008,727789278.66,576,1430550
W52P1J09G0001,727739910.52,2816,1430550
DAHC9490D0012,727692778.00,5308,1430550
N0003918D0070,727304513.51,604,1430550
SPE2DX19D1501,727235847.23,8790,1430550
70RTAC20A00000003,726650355.20,409,1430550
36C10X19D0001,725382679.26,44,1430550
W911SE07D0008,724372159.01,332,1430550
OPM1516D0003,722970556.21,34,1430550
W56KGY19D0020,722750036.85,146,1430550
GS35F685GA,721822075.73,186,1430550
FXXXXX88XXXXX,721590000.00,338,1430550
N0003920D0020,721318110.37,13043,1430550
SPE60218D0466,720343585.57,116,1430550
SP470107A0001,718678221.93,638,1430550
N0042118D0004,718602368.00,779,1430550
263010050,718492212.27,1186,1430550
NNG07DA45B,718289426.92,2149,1430550
70CDCR24A00000001,718111233.00,10,1430550
GS00Q09BGD0041,717627049.27,346,1430550
W909MY19D0015,716405979.41,87,1430550
FA877111D1006,715916257.95,1347,1430550
HC108419D0004,715591123.78,135,1430550
FA852814D0015,715227228.52,403,1430550
91003123D0001,714937521.92,132,1430550
N0001920D0004,714694753.71,72,1430550
W15QKN22D0008,713915441.27,211,1430550
GS00P10BSD0725,712187114.91,1371,1430550
N0002488C5140,712041000.00,3,1430550
HHSN316201500011W,710827044.05,705,1430550
H9240019D0001,710814648.53,324,1430550
HHSN316201200040W,710667479.98,360,1430550
HTC71114DR025,710093114.09,54,1430550
FA810606D0001,708671460.55,564,1430550
HHSM500200400007I,708629342.15,253,1430550
DACA7899D0003,707796274.07,310,1430550
HSCEDM15D00015,707675400.12,122,1430550
GS09K99BHD0004,707070015.05,2534,1430550
VA11816D1006,705171414.40,304,1430550
F1963081D0002,705055000.00,3097,1430550
W58RGZ09D0130,703855643.09,1245,1430550
GS09K99BHD0009,702983883.47,1514,1430550
W31P4Q17D0026,702196032.98,486,1430550
N0017819D7693,701268835.77,570,1430550
VA797P12D0011,699420917.75,2217,1430550
SPE4AX16D9476,697227247.74,758,1430550
HC102808D2015,695670912.67,1248,1430550
FA853008D0008,693874183.61,292,1430550
FA300206D0006,691451351.65,619,1430550
GS00Q14OADS128,690974191.18,1543,1430550
N0001920G0007,690523739.07,468,1430550
DAAE0701GN001,688752686.83,258,1430550
MDA90392D0013,688158283.00,2346,1430550
W52P1J18D0093,688108699.50,204,1430550
75N95021D00012,686100156.67,1639,1430550
NNG15SD29B,685706742.67,580,1430550
FA862024GB001,683713390.58,32,1430550
N0002411D4229,683649459.48,1848,1430550
N0002401D7013,683142888.93,506,1430550
GS35F0131R,682533774.08,6859,1430550
2031JG21D00022,682168566.93,49,1430550
SPE2DE21D0050,681753552.90,1259,1430550
W56HZV22D0002,681462175.49,29,1430550
SAQMMA17D0080,681355857.93,298,1430550
W91QUZ06D0020,681233116.42,1341,1430550
36C10E19D0015,680933292.35,93,1430550
47QFCA22D0337,680639840.01,46,1430550
GS10F0083L,680629856.23,1470,1430550
FA862622D0010,680427128.92,62,1430550
FA872621D0001,680378039.27,151,1430550
NNG07DA08B,679072358.63,6784,1430550
NNG15SC28B,679056958.54,3899,1430550
SAQMMA09D0084,678826341.97,657,1430550
GS35F4507G,678689524.18,1957,1430550
VA11915A0131,677025139.62,971,1430550
36C10G24D0088,676755682.18,11,1430550
W58RGZ21D0028,676430022.72,63,1430550
GS35F0195J,676199261.95,17346,1430550
GS35F0279J,676090279.33,4938,1430550
HHSN316201200117W,674897378.84,746,1430550
W9124D11D0036,673712319.37,1556,1430550
W911W404D0005,673596025.04,273,1430550
N6893623D0001,673563403.26,264,1430550
VA79811D0003,673251181.47,28,1430550
W52P1J19D0015,672728503.01,45,1430550
SPRPA124D001E,671827770.65,1,1430550
H9240121D0002,671056412.85,226,1430550
GS23F0217K,670529765.64,418,1430550
500030014,670302906.73,331,1430550
DOCYA132316CQ0003,670086018.70,193,1430550
NNG07DA20B,669978666.15,3661,1430550
DTCG2302DNDRS02,669822034.65,1165,1430550
GS35F281DA,669576856.97,664,1430550
DAAE0782C4060,669370000.00,62,1430550
73351019D0001,668860279.13,28,1430550
GS28F8014H,668249895.57,13468,1430550
FA873215D0034,668188483.08,417,1430550
N0001919G0011,667685115.95,133,1430550
70B04C20A00000008,667343566.86,81,1430550
FA852807D0015,666912760.70,314,1430550
36C10X23D0003,665911097.75,972,1430550
VA11816D1013,665613649.01,117,1430550
GS07T00BGD0019,664204871.42,2190,1430550
FA862622D0002,664065193.08,59,1430550
GS00Q14OADU312,663704987.69,183,1430550
AIDOAAI1700008,662355358.24,44,1430550
SPE4AX15D9412,661521744.34,76,1430550
HSHQDC12D00013,661026700.96,4337,1430550
W519TC24D0007,660909848.22,79,1430550
70B01C20D00000004,660623565.40,678,1430550
N0042123D0001,660389815.00,504,1430550
HHSN316201200009W,659551997.30,357,1430550
N0017804D4078,659333352.58,2427,1430550
SPE60222D0499,658962657.27,150,1430550
47QRAD20DU108,658892742.69,55,1430550
F3460182C0078,657831000.00,83,1430550
69P05115779000,656747000.00,102,1430550
N0001985C0447,656392000.00,8,1430550
N0003924D4004,655790889.49,59,1430550
GS35F0511T,655379415.20,10064,1430550
DAAE0781C5760,655363000.00,80,1430550
SPE4A119G0013,655250980.12,17443,1430550
HQ072716D0001,654885816.16,336,1430550
GS35F5396H,654310753.07,2175,1430550
N6600118A0006,653761863.13,845,1430550
SPE2DX15D1053,653663379.86,70862,1430550
DJJ08C1657,653473740.68,366,1430550
FA821415D0001,653370639.36,715,1430550
GS00Q09BGD0047,652747852.78,481,1430550
VA11811D1011,652109291.77,278,1430550
GS35F0086U,651839450.10,383,1430550
HHSM500200700014I,651459913.08,225,1430550
F3365701D2074,649983500.43,265,1430550
DAAA0981G2010,649712000.00,119,1430550
GS35F309AA,649688990.11,511,1430550
NNG15SD82B,649227398.43,952,1430550
DTFAWA17D00014,647702515.76,924,1430550
N0001908D0014,647589781.36,361,1430550
BPA00007,647558000.00,287,1430550
DAAA0902D0025,647461947.65,194,1430550
N0003920D0146,647387046.65,346,1430550
W912CH24D0008,646825704.28,60,1430550
GS09K99BHD0006,646384195.02,1936,1430550
36C10X19D0003,646360439.81,44,1430550
GS00Q14OADS112,646156899.89,1155,1430550
USZA2202D0017,646114921.16,2553,1430550
V797P6029B,645091218.74,3119,1430550
W9124P1990001,644669171.38,50,1430550
DJJ13C2439,644385248.09,1865,1430550
SPE60223D0454,644172015.93,102,1430550
FA862115D6266,644000689.09,215,1430550
HSCEDM14D00004,643009491.02,87,1430550
TIRNO11D00011,642488589.56,764,1430550
70B04C19D00000021,642346436.83,68,1430550
47QTCK18D0022,642255089.37,261,1430550
N0001911G0001,642044883.71,1441,1430550
FA882319D0001,642017657.65,281,1430550
70B01C26D00000008,641277600.00,2,1430550
N0038320GX901,641076760.71,955,1430550
FA881124DB003,640303445.24,15,1430550
TMHQ13C0009,639971201.96,25,1430550
HT003822D0001,638908294.05,36,1430550
N0002484C2063,637965000.00,124,1430550
FA873213D0013,637602201.89,1893,1430550
DAAE0781C0001,637341000.00,16,1430550
HHSN271201000005I,636979483.25,4516,1430550
W31P4Q15A0024,636474637.44,412,1430550
F4262098D0054,636393070.13,645,1430550
W91QUZ07D0004,635948115.57,1449,1430550
DAAK5084C0008,635919000.00,8,1430550
GS00Q14OADS724,633958164.82,635,1430550
HSHQDC13D00023,633763096.36,2559,1430550
GS07F5965P,633524751.22,7047,1430550
GS35F4194D,633282819.90,4691,1430550
GS00Q14OADU310,632905499.19,119,1430550
W15P7T17D0142,632722964.16,636,1430550
DTFA0101CA0065,632496733.04,319,1430550
H9240222D0001,632071206.32,209,1430550
36C10X19D0011,631396459.47,43,1430550
NNG07DA26B,630615566.08,3745,1430550
SLMAQM03C0033,629155730.74,241,1430550
GS35F253CA,629018791.38,3005,1430550
TIRNO11D00022,628729466.42,488,1430550
70Z04718DWHITUR00,627900765.57,303,1430550
GS00Q14OADS611,627112231.03,592,1430550
DAAJ0985CA481,627083000.00,28,1430550
VA11816D1004,626305729.94,104,1430550
HSHQDC13A00040,625548309.54,510,1430550
VA79114D0016,625516713.57,84,1430550
GS35F0119P,624947543.82,28078,1430550
W56KGY25D0008,624925695.21,4,1430550
W9124P20D0002,624741997.18,3275,1430550
DCA20000D5000,624356299.37,844,1430550
DACA6303D0005,624270000.00,15,1430550
FA873214D0013,623746715.81,608,1430550
70FB8018D00000003,623735476.23,339,1430550
DEAM3609GO29039,623401063.89,603,1430550
N666041890001,622768447.91,537,1430550
HTC71119DW026,622512957.80,64,1430550
GS09K99BHD0003,621840271.98,1501,1430550
SPE4AX18D9416,621791119.38,5109,1430550
N0002483C2039,621579000.00,161,1430550
HHSN316201300006W,621243452.59,314,1430550
GS00Q14OADU126,621129333.07,251,1430550
DTRA0101D0013,621010148.69,269,1430550
GS00Q09BGD0025,620593557.94,938,1430550
SPM8EJ14D0008,620464871.22,1724,1430550
W56KGY22D0001,620332392.48,121,1430550
N0010402AZE84,620119212.45,684,1430550
SAQMMA17D0109,619973465.14,69,1430550
DCA20001D5003,619255663.00,442,1430550
80GSFC19D0011,618934373.48,2334,1430550
VA11816D1016,618771697.14,148,1430550
SPE8EC23D0002,618704112.71,812,1430550
FA862810D1000,618574112.74,506,1430550
VA797P12C0022,618570755.70,1293,1430550
HTC71123DC025,618528183.08,4255,1430550
HHSM500200700021I,617221984.34,210,1430550
HC102808D2006,616360605.04,445,1430550
N0002487C2023,615491000.00,4,1430550
N0003284C4484,614624000.00,31,1430550
NNL04AA03B,614378977.24,714,1430550
NNG15SC69B,614271715.98,2580,1430550
W58RGZ18D0138,613372032.18,411,1430550
HR001122D0001,613361578.97,632,1430550
36F79722D0185,612808127.90,63,1430550
NNG15SC94B,612689883.65,1252,1430550
SPE60518D1256,612300533.40,5157,1430550
HTC71116DW014,612035386.70,62,1430550
HHSD200201037217I,611891671.44,707,1430550
W52P1J18D0030,611508698.42,119,1430550
DACA8797D0008,610624123.64,62,1430550
N0002401D7017,610610315.71,761,1430550
DAAK1081C0093,610010000.00,22,1430550
DAAE0782C0001,609883000.00,28,1430550
N0003920D0058,609334208.61,285,1430550
NNG15SC05B,609319030.45,4912,1430550
F3365701D2014,609265673.36,15,1430550
NNG15SC85B,608864699.14,2026,1430550
N0001915G0003,608750017.66,715,1430550
NNG15SC04B,607793129.56,3035,1430550
NNG15SD30B,607071835.44,1370,1430550
FA862115D6267,606954612.66,220,1430550
FA890317D0041,606942918.21,148,1430550
F3365775C0377,606509000.00,117,1430550
W52P1J11D0002,606408476.86,1086,1430550
FA877104D0002,605502116.00,3093,1430550
GS35F372DA,604185176.63,126,1430550
N0018902D0042,603625079.17,15387,1430550
GS00F0049M,603091547.66,1168,1430550
N0017804D4122,601918679.80,2996,1430550
GS07F5548P,601130288.12,355,1430550
W15QKN21D0005,600515202.31,38,1430550
GS07F0418K,600434050.69,968,1430550
SPE3S122DZ146,600252590.06,123,1430550
N6134019D0004,599811633.96,118,1430550
N0001986C0207,599500000.00,16,1430550
GS07F0366K,598792301.95,848,1430550
HSHQDC13DE2090,596459665.13,99,1430550
GS30FW0005,595904004.54,14783,1430550
SPE8EC17D0012,594867743.25,1426,1430550
W91QUZ09A0003,594029253.69,2113,1430550
V797P2065D,593402494.17,5684,1430550
TMG5008,593243000.00,462,1430550
W91QUZ06D0017,592285961.23,833,1430550
SPE60225D0459,592036764.50,97,1430550
FXXXXX86XXXXX,591624000.00,572,1430550
DJJ04C0980,591618412.66,2905,1430550
HHSD200200403409I,591349147.12,1240,1430550
W91CRB24D0011,591308152.52,36,1430550
W519TC25D0039,590991283.26,56,1430550
FA870806D0001,590745724.04,701,1430550
FA873214D0004,590690910.06,4028,1430550
N0038320DW201,590610850.88,15,1430550
W52P1J05D0004,590265498.33,244,1430550
N0001922D0042,589991456.27,52,1430550
SPM30013D3153,588595289.15,9834,1430550
N6523619D4809,588074625.98,587,1430550
TEP110015,587467445.00,298,1430550
GS23F9806H,587118660.58,1239,1430550
HT940214D0001,586811099.11,45,1430550
GS35F146DA,586710040.79,344,1430550
GS23F8049H,586637119.36,2149,1430550
DAAA0977C4007,585750000.00,142,1430550
W52P1J16D0014,585503513.24,3262,1430550
FA867217D0004,585114143.89,177,1430550
SPRRA220D0012,584935187.32,44,1430550
HSHQDC14D00006,584072489.72,1109,1430550
HS002119D0127,582489643.76,23,1430550
36C10E19D0018,582461614.02,101,1430550
SPM20005D1100,582129234.58,19211,1430550
FA852218D0002,581697901.50,243,1430550
693KA721D00001,580900543.00,281,1430550
NAS501142,580647562.10,5906,1430550
SAQMMA14D0151,579969829.54,338,1430550
NNG15SD39B,579931514.01,1782,1430550
47QFCA22D0406,579798396.08,53,1430550
VA11816D1028,578476250.11,234,1430550
GS00F0028Y,578149284.30,809,1430550
HSHQDC15A00017,577747224.64,852,1430550
W31P4Q20D0031,577082387.14,138,1430550
F4160890D1538,576980255.00,40,1430550
F1962886C0001,576890000.00,49,1430550
F0470484C0048,576284000.00,41,1430550
NAS598145,576142535.25,2497,1430550
W909MY18D0033,575917809.00,132,1430550
W91CRB17D0009,575783015.31,153,1430550
NNG07DA49B,575545801.13,3764,1430550
GS23F0235K,575458077.94,156,1430550
GS35F0009T,574851253.28,2122,1430550
GS00P06BSD0393,574492103.85,1001,1430550
FA807518D0007,574441103.28,670,1430550
W52P1J12D0078,574327716.43,376,1430550
F0960303D0002,573884570.27,868,1430550
F3460101D0155,573855787.52,2117,1430550
W31P4Q09A0023,572989782.27,1260,1430550
SPE60222D0456,572967101.27,39,1430550
N0002484C2027,571960000.00,114,1430550
SAQMMA10D0001,571662483.79,98,1430550
N0002484C4003,571403000.00,34,1430550
GS00Q14OADS732,570388547.16,784,1430550
GS35F626GA,570316731.54,80,1430550
GS35F4027D,568882861.89,3611,1430550
SPE3S122DZ145,568718374.12,88,1430550
SPE60223D0487,568621727.99,152,1430550
SPE2DX15D5017,568575912.08,17023,1430550
47QFCA22D0401,567997318.22,39,1430550
N0001987C0131,567969000.00,8,1430550
HHSN271201500007I,567804490.99,1959,1430550
N6893997D0041,567713133.88,447,1430550
DAAJ0985CA002,567710000.00,6,1430550
N0002482C2055,567634000.00,114,1430550
N6134019G0002,567033905.19,52,1430550
DAAJ0985CA006,566752000.00,52,1430550
N0002422G4304,566555363.11,21,1430550
36C10G24D0093,565570720.61,11,1430550
GS35F349CA,565303033.65,533,1430550
NNG15SC20B,565160038.20,5445,1430550
GS10F0579N,564347254.94,72,1430550
H9400304D0006,563738238.37,1003,1430550
W91QUZ06D0018,563213835.67,711,1430550
GS35F0165Y,562984528.10,873,1430550
F3365798D0002,562746275.20,823,1430550
GS35F0739M,562092259.39,844,1430550
SP060008D1017,561695917.62,14,1430550
W91WMC07D0001,561545850.03,1956,1430550
W31P4Q20D0023,561132762.21,90,1430550
GS00Q14OADU120,560387233.12,239,1430550
GS35F088AA,560135662.66,618,1430550
DAAE0786CJ111,559976000.00,11,1430550
47QFCA22D0064,559847176.92,32,1430550
N6133900D0001,559565263.65,1002,1430550
F3365799D2051,559165285.44,378,1430550
SPRPA109G004Y,558922775.64,7085,1430550
GS35F0273L,558899833.76,2066,1430550
W15P7T09DH001,558465093.66,519,1430550
GS00Q14OADU128,557979053.88,153,1430550
GS07F0382K,557515305.84,1672,1430550
FA881125DB003,555549917.00,12,1430550
N0002479C4027,555439000.00,19,1430550
HC101307D2006,555108044.33,15107,1430550
N0001915D0003,554742753.05,776,1430550
HQ000608D0003,553889592.78,475,1430550
F0162095D0001,553333193.28,1630,1430550
HHSM500201300012I,552631316.93,127,1430550
FA854013D0002,552290843.39,579,1430550
36C10X23D0002,551893137.68,30,1430550
DAAE0786CA050,551870000.00,19,1430550
HHSM500200400005I,551701152.67,207,1430550
F4160885DA007,551268000.00,854,1430550
HC102814D0003,551236093.81,141,1430550
N0001416D5003,550918990.01,3083,1430550
GS23F0025L,550873990.69,929,1430550
